Temp, Pres, Alt, Time
26.9,100915,33.61,33520
26.9,100923,33.69,34011
26.9,100921,33.78,34101
26.9,100928,33.78,34150
26.9,100921,33.36,34240
26.9,100924,33.61,34331
26.9,100924,33.36,34421
26.9,100915,33.53,34511
26.9,100926,33.94,35000
26.9,100921,33.53,35051
26.9,100930,33.27,35141
26.9,100926,33.53,35231
26.9,100926,33.53,35320
26.9,100921,33.36,35411
26.9,100919,34.02,35501
26.9,100924,33.69,35551
26.9,100929,33.61,40041
26.9,100921,33.19,40131
26.9,100920,33.53,40221
26.9,100920,33.19,40311
26.9,100927,33.61,40401
26.9,100922,34.02,40451
26.9,100923,33.36,40541
26.9,100927,33.53,41031
26.9,100922,33.19,41121
26.9,100922,33.27,41211
26.9,100921,33.78,41301
26.9,100922,33.36,41351
26.9,100926,33.19,41441
26.9,100925,33.69,41531
26.9,100923,33.44,42022
26.9,100919,33.02,42111
26.9,100923,33.86,42201
26.9,100924,33.19,42251
26.9,100928,33.36,42341
26.9,100929,33.53,42432
26.9,100927,33.44,42521
26.9,100930,33.27,43011
26.9,100926,33.44,43101
26.9,100926,33.36,43152
26.9,100926,32.94,43242
26.9,100926,33.19,43332
26.9,100926,33.11,43421
26.9,100931,33.78,43512
26.9,100928,32.86,44002
26.9,100926,33.02,44052
26.9,100928,33.11,44141
26.9,100926,33.19,44231
26.9,100929,33.44,44321
26.9,100923,33.27,44411
26.9,100931,33.27,44501
26.9,100927,33.27,44551
26.9,100927,32.94,45041
26.9,100924,32.94,45131
26.9,100929,33.11,45221
26.9,100926,33.36,45311
26.9,100932,32.86,45401
26.9,100931,33.78,45451
26.9,100930,33.27,45541
26.9,100928,33.69,50031
26.9,100924,33.44,50122
26.9,100920,33.53,50212
26.9,100922,33.69,50301
26.9,100929,33.78,50351
26.9,100932,33.36,50441
26.9,100927,33.61,50532
26.9,100921,33.86,51022
26.9,100923,33.44,51111
26.9,100922,33.36,51201
26.9,100930,33.44,51252
26.9,100926,33.36,51342
26.9,100926,33.78,51432
26.9,100927,33.36,51521
26.9,100929,32.86,52012
26.9,100922,33.86,52102
26.9,100928,33.53,52152
26.9,100922,33.78,52242
26.9,100928,33.36,52332
26.9,100921,33.53,52422
26.9,100925,33.19,52512
26.9,100925,32.94,53002
26.9,100926,33.78,53052
26.9,100924,33.36,53142
26.9,100926,33.61,53232
26.9,100928,33.11,53322
26.9,100924,33.78,53412
26.9,100927,33.78,53502
26.9,100923,33.19,53552
26.9,100921,33.69,54042
26.9,100923,33.44,54132
26.9,100924,33.02,54222
26.9,100927,33.27,54312
26.9,100926,33.36,54402
26.9,100923,33.44,54452
26.9,100929,33.53,54543
26.9,100926,33.69,55033
26.9,100923,33.78,55122
26.9,100920,33.27,55212
26.9,100924,33.78,55302
26.9,100924,33.94,55353
26.9,100921,33.69,55443
26.9,100924,33.53,55532
26.9,100927,33.44,10002
26.9,100929,33.78,10011
26.9,100927,33.27,10020
26.9,100920,33.86,10025
26.9,100920,33.94,10034
26.9,100921,33.69,10043
26.9,100924,34.19,10052
26.9,100926,34.02,10101
26.9,100926,33.61,10110
26.9,100926,33.44,10115
26.9,100931,33.19,10124
26.9,100917,33.53,10133
26.9,100916,33.53,10142
26.9,100922,33.27,10151
26.9,100928,34.28,10200
26.9,100920,33.61,10205
26.9,100919,33.69,10214
26.9,100923,33.78,10223
26.9,100920,33.27,10232
26.9,100918,33.69,10241
26.9,100926,33.61,10250
26.9,100918,33.78,10255
26.9,100928,33.44,10304
26.9,100925,33.27,10313
26.9,100924,33.44,10322
26.9,100927,33.61,10331
26.9,100921,33.69,10340
26.9,100922,34.11,10345
26.9,100915,33.78,10354
26.9,100926,33.94,10403
26.9,100924,33.53,10412
26.9,100926,33.69,10421
26.9,100924,33.78,10430
26.9,100918,33.69,10435
26.9,100925,33.36,10444
26.9,100921,33.44,10453
26.9,100923,33.61,10502
26.9,100923,33.94,10511
26.9,100927,33.19,10520
26.9,100926,33.44,10525
26.9,100918,33.53,10534
26.9,100925,33.02,10543
26.9,100921,33.11,10552
26.9,100922,33.61,11001
26.9,100920,33.94,11010
26.9,100915,34.02,11015
26.9,100922,33.53,11024
26.9,100927,33.11,11033
26.9,100924,33.61,11042
26.9,100929,33.11,11051
26.9,100926,33.19,11100
26.9,100931,33.19,11105
26.9,100930,33.44,11114
26.9,100925,33.19,11123
26.9,100929,34.19,11132
26.9,100927,33.44,11141
26.9,100928,33.61,11150
26.9,100927,33.69,11155
26.9,100924,33.94,11204
26.9,100922,33.69,11213
26.9,100924,33.44,11222
26.9,100924,33.44,11231
26.9,100924,33.44,11240
26.9,100921,33.69,11245
26.9,100921,33.11,11254
26.9,100924,33.61,11303
26.9,100924,33.44,11312
26.9,100924,33.61,11321
26.9,100924,33.36,11330
26.9,100923,33.61,11335
26.9,100927,33.94,11344
26.9,100924,33.78,11353
26.9,100927,33.53,11402
26.9,100923,33.44,11411
26.9,100925,33.61,11420
26.9,100921,33.36,11425
26.9,100925,33.69,11434
26.9,100927,33.61,11443
26.9,100930,33.44,11452
26.9,100926,33.19,11501
26.9,100928,33.19,11510
26.9,100928,33.36,11515
26.9,100934,33.27,11524
26.9,100929,33.11,11533
26.9,100929,32.77,11542
26.9,100928,32.77,11551
26.9,100931,33.53,12000
26.9,100925,33.19,12005
26.9,100929,33.53,12014
26.9,100935,33.53,12023
26.9,100927,33.53,12032
26.9,100928,33.27,12041
26.9,100923,33.36,12050
26.9,100928,33.27,12055
26.9,100928,33.36,12104
26.9,100927,33.78,12113
26.9,100930,32.94,12122
26.9,100930,33.44,12131
26.9,100928,33.27,12140
26.9,100924,33.61,12145
26.9,100927,33.69,12154
26.9,100925,32.94,12203
26.9,100932,33.69,12212
26.9,100927,33.36,12221
26.9,100927,33.19,12230
26.9,100925,33.11,12235
26.9,100930,33.53,12244
26.9,100924,33.53,12253
26.9,100926,33.78,12302
26.9,100930,33.11,12311
26.9,100925,33.61,12320
26.9,100928,33.11,12325
26.9,100924,33.44,12334
26.9,100928,33.36,12343
26.9,100928,32.94,12352
26.9,100929,33.36,12401
26.9,100927,33.36,12410
26.9,100935,33.44,12415
26.9,100929,33.11,12424
26.9,100927,33.69,12433
26.9,100925,33.44,12442
26.9,100927,32.77,12451
26.9,100925,33.44,12500
26.9,100928,33.19,12505
26.9,100926,33.02,12514
26.9,100922,33.36,12523
26.9,100922,33.19,12532
26.9,100925,33.69,12541
26.9,100927,33.44,12550
26.9,100920,33.19,12555
26.9,100927,33.53,13004
26.9,100932,33.19,13013
26.9,100922,33.19,13022
26.9,100926,33.53,13031
26.9,100919,33.27,13040
26.9,100929,33.36,13045
26.9,100928,33.44,13054
26.9,100928,33.19,13103
26.9,100931,33.19,13112
26.9,100924,33.36,13121
26.9,100922,33.36,13130
26.9,100922,33.27,13135
26.9,100923,33.19,13144
26.9,100922,33.53,13153
26.9,100922,33.02,13202
26.9,100929,33.44,13211
26.9,100926,33.36,13220
26.9,100925,33.19,13225
26.9,100922,33.11,13234
26.9,100927,33.11,13243
26.9,100922,33.36,13252
26.9,100925,33.69,13301
26.9,100927,33.11,13310
26.9,100926,33.11,13315
26.9,100929,33.27,13324
26.9,100928,33.61,13333
26.9,100928,33.36,13342
26.9,100925,33.27,13351
26.9,100930,33.44,13400
26.9,100924,33.02,13405
26.9,100927,33.61,13414
26.9,100927,33.36,13423
26.9,100927,33.11,13432
26.9,100923,33.11,13441
26.9,100928,33.61,13450
26.9,100923,33.61,13455
26.9,100931,33.44,13504
26.9,100924,32.94,13513
26.9,100932,33.61,13522
26.9,100925,33.19,13531
26.9,100925,33.19,13540
26.9,100922,33.78,13545
26.9,100930,33.11,13554
26.9,100927,32.86,14003
26.9,100926,33.02,14012
26.9,100932,33.02,14021
26.9,100927,33.02,14030
26.9,100932,32.94,14035
26.9,100932,33.11,14044
26.9,100928,33.02,14053
26.9,100929,33.11,14103
26.9,100929,33.11,14111
26.9,100927,33.44,14120
26.9,100926,33.61,14125
26.9,100930,32.86,14135
26.9,100929,33.11,14144
26.9,100931,33.02,14152
26.9,100931,33.02,14201
26.9,100928,33.19,14210
26.9,100929,33.11,14220
26.9,100935,33.11,14225
26.9,100929,33.53,14233
26.9,100928,32.77,14242
26.9,100926,33.11,14252
26.9,100927,32.52,14301
26.9,100928,32.94,14310
26.9,100929,33.02,14314
26.9,100927,33.02,14324
26.9,100928,33.11,14333
26.9,100924,33.27,14342
26.9,100928,32.94,14351
26.9,100925,33.02,14400
26.9,100924,33.27,14404
26.9,100925,33.78,14413
26.9,100922,32.94,14422
26.9,100921,33.11,14431
26.9,100930,33.44,14441
26.9,100925,33.19,14445
26.9,100929,33.11,14454
26.9,100931,32.77,14503
26.9,100927,32.86,14513
26.9,100926,33.02,14521
26.9,100928,32.94,14530
26.9,100926,33.02,14535
26.9,100927,33.11,14545
26.9,100932,33.02,14554
26.9,100927,32.52,15002
26.9,100928,33.11,15011
26.9,100930,33.02,15020
26.9,100933,32.86,15030
26.9,100932,33.78,15035
26.9,100928,32.77,15043
26.9,100929,32.86,15052
26.9,100929,32.69,15102
26.9,100930,33.02,15111
26.9,100927,33.11,15120
26.9,100928,33.11,15124
26.9,100924,32.77,15134
26.9,100929,33.36,15143
26.9,100921,33.11,15152
26.9,100930,33.11,15201
26.9,100931,33.61,15210
26.9,100927,33.69,15215
26.9,100927,33.78,15224
26.9,100929,33.94,15233
26.9,100922,33.27,15242
26.9,100925,32.86,15251
26.9,100927,33.19,15300
26.9,100929,33.27,15305
26.9,100924,33.86,15314
26.9,100928,33.78,15323
26.8,100931,33.53,15332
26.9,100928,33.11,15341
26.9,100928,33.44,15350
26.9,100932,33.19,15355
26.8,100933,33.02,15404
26.9,100930,32.69,15413
26.9,100930,32.61,15422
26.9,100925,33.36,15431
26.9,100928,33.11,15440
26.9,100926,32.77,15445
26.9,100928,33.02,15454
26.9,100931,32.61,15503
26.8,100929,33.44,15512
26.9,100927,32.86,15521
26.9,100931,32.86,15530
26.9,100935,33.02,15535
26.9,100928,33.53,15544
26.9,100930,33.02,15553
26.9,100929,33.53,20002
26.9,100932,33.61,20011
26.9,100931,33.69,20020
26.9,100931,32.94,20025
26.9,100930,33.61,20034
26.9,100929,33.44,20043
26.8,100932,33.27,20052
26.9,100925,33.27,20101
26.9,100932,32.61,20110
26.9,100929,33.11,20115
26.9,100923,33.61,20124
26.9,100926,33.02,20133
26.9,100926,33.27,20142
26.8,100922,33.44,20151
26.8,100926,33.36,20200
26.9,100930,33.27,20205
26.8,100921,33.36,20214
26.8,100929,32.86,20223
26.8,100928,33.36,20232
26.8,100924,33.36,20241
26.8,100932,33.02,20250
26.8,100924,33.36,20255
26.9,100936,33.27,20304
26.9,100928,33.53,20313
26.9,100925,33.02,20322
26.8,100926,32.86,20331
26.8,100924,33.27,20340
26.8,100931,33.02,20345
26.8,100920,33.36,20354
26.9,100927,33.27,20403
26.9,100934,33.27,20412
26.9,100931,33.61,20421
26.8,100933,32.94,20430
26.8,100925,33.27,20435
26.8,100929,33.78,20444
26.8,100929,33.69,20453
26.8,100932,32.69,20502
26.8,100929,33.02,20511
26.8,100931,32.86,20520
26.9,100933,33.27,20525
26.8,100928,32.19,20534
26.8,100932,33.27,20543
26.8,100931,32.86,20552
26.8,100924,33.02,21001
26.8,100931,33.27,21010
26.8,100932,33.19,21015
26.8,100925,33.44,21024
26.8,100929,33.02,21033
26.8,100928,33.44,21042
26.8,100925,33.44,21051
26.8,100930,33.11,21100
26.8,100925,33.19,21105
26.8,100930,33.02,21114
26.8,100928,32.94,21123
26.8,100932,32.94,21132
26.9,100928,32.69,21141
26.8,100923,33.11,21150
26.8,100928,33.02,21155
26.8,100929,32.86,21204
26.8,100931,33.02,21213
26.8,100930,32.77,21222
26.8,100929,32.61,21231
26.8,100929,32.94,21240
26.8,100930,33.53,21245
26.8,100933,33.19,21254
26.8,100926,33.53,21303
26.8,100923,33.02,21312
26.8,100927,33.53,21321
26.8,100924,33.27,21330
26.8,100926,33.11,21335
26.8,100922,32.69,21344
26.8,100923,32.77,21353
26.8,100931,32.86,21402
26.8,100928,33.27,21411
26.8,100927,33.36,21420
26.8,100928,33.02,21425
26.8,100934,32.61,21434
26.8,100929,32.86,21443
26.8,100931,32.86,21452
26.8,100926,32.77,21501
26.8,100925,33.27,21510
26.8,100928,33.69,21515
26.8,100930,33.36,21524
26.8,100925,33.02,21533
26.8,100927,33.02,21542
26.8,100928,32.86,21551
26.8,100928,32.86,22000
26.8,100928,33.02,22005
26.8,100929,33.36,22014
26.8,100929,33.11,22023
26.8,100926,33.61,22032
26.8,100928,33.27,22041
26.8,100927,33.19,22050
26.8,100925,33.69,22055
26.8,100923,33.86,22104
26.8,100931,33.36,22113
26.8,100929,32.94,22122
26.8,100926,33.02,22131
26.8,100929,33.61,22140
26.8,100924,33.27,22145
26.8,100932,33.61,22154
26.8,100927,34.11,22203
26.8,100931,33.02,22212
26.8,100926,33.61,22221
26.8,100928,33.27,22230
26.8,100930,33.11,22235
26.8,100924,33.27,22244
26.8,100931,33.36,22253
26.8,100929,33.61,22302
26.8,100928,33.78,22311
26.8,100928,33.44,22320
26.8,100928,33.44,22325
26.8,100928,33.61,22334
26.8,100930,33.36,22343
26.8,100928,33.53,22352
26.8,100930,33.27,22401
26.8,100930,33.53,22410
26.8,100924,33.36,22415
26.8,100931,33.36,22424
26.8,100938,33.27,22433
26.8,100927,32.52,22442
26.8,100932,33.02,22451
26.8,100929,32.69,22500
26.8,100933,33.27,22505
26.8,100932,32.94,22514
26.8,100932,33.11,22523
26.8,100928,33.11,22532
26.8,100929,32.86,22541
26.8,100931,32.69,22550
26.8,100927,33.53,22555
26.8,100929,33.36,23004
26.8,100925,33.61,23013
26.8,100927,33.27,23022
26.8,100930,33.36,23031
26.8,100926,33.02,23040
26.8,100924,33.44,23045
26.8,100926,33.61,23054
26.8,100927,33.53,23103
26.8,100931,33.61,23112
26.8,100932,33.11,23121
26.8,100933,33.02,23130
26.8,100930,33.11,23135
26.8,100932,32.61,23144
26.8,100926,32.69,23153
26.8,100929,33.02,23202
26.8,100923,33.61,23211
26.8,100924,33.27,23220
26.8,100929,33.36,23225
26.8,100928,33.61,23234
26.8,100931,33.86,23243
26.8,100932,33.11,23252
26.8,100932,32.77,23301
26.8,100931,32.94,23310
26.8,100926,33.27,23315
26.8,100929,33.53,23324
26.8,100928,33.86,23333
26.8,100927,33.61,23342
26.8,100927,33.27,23351
26.8,100930,33.61,23400
26.8,100930,33.78,23405
26.8,100929,33.02,23414
26.8,100926,32.94,23423
26.8,100929,33.11,23432
26.8,100927,33.02,23441
26.8,100926,33.44,23450
26.8,100931,32.44,23455
26.8,100928,33.61,23504
26.8,100926,33.27,23513
26.8,100930,33.44,23522
26.8,100931,33.86,23531
26.8,100929,33.53,23540
26.8,100930,32.86,23545
26.8,100925,33.78,23554
26.8,100929,33.19,24003
26.8,100930,32.77,24012
26.8,100926,33.02,24021
26.8,100921,32.86,24030
26.8,100925,33.27,24035
26.8,100926,33.19,24044
26.8,100924,33.27,24053
26.8,100924,33.44,24102
26.8,100923,33.19,24111
26.8,100931,32.94,24120
26.8,100928,33.86,24125
26.8,100928,33.19,24134
26.8,100927,33.94,24143
26.8,100929,33.36,24152
26.8,100931,33.53,24201
26.8,100923,33.11,24210
26.8,100922,33.19,24215
26.8,100923,33.02,24224
26.8,100927,33.44,24233
26.8,100931,33.02,24242
26.8,100920,33.53,24251
26.8,100918,33.69,24300
26.8,100927,33.36,24305
26.8,100927,33.61,24314
26.8,100923,33.61,24323
26.8,100926,33.61,24332
